Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/50399596/salvage-2017-ford-escape-se-oh-akron,50399596,"7,900 USD",05/05/2026 03:00 pm GMT+1,2017,FORD,ESCAPE,1.5L 4,4,1FMCU9GD1HU******,CERT OF TITLE-SALVAGE,"140,044 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,28,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50370146/clean-title-2000-chevrolet-silverado-c1500-oh-akron,50370146,"2,300 USD",05/05/2026 03:00 pm GMT+1,2000,CHEV,SILVERADO,5.3L 8,8,2GCEC19T2Y1******,CERTIFICATE OF TITLE,"101,896 N",NOT ACTUAL,MECHANICAL,90 USD,0 USD,22,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50279526/salvage-2019-honda-ridgeline-rtl-oh-akron,50279526,"21,491 USD",05/05/2026 03:00 pm GMT+1,2019,HOND,RIDGELINE,3.5L 6,6,5FPYK3F75KB******,CERT OF TITLE-SALVAGE,"73,072 A",ACTUAL,FRONT END,"3,500 USD",0 USD,41,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50258666/salvage-2017-honda-cr-v-lx-oh-akron,50258666,"15,151 USD",05/05/2026 03:00 pm GMT+1,2017,HOND,CR-V,2.4L 4,4,2HKRW6H38HH******,CERT OF TITLE-SALVAGE,"74,464 A",ACTUAL,SIDE,90 USD,0 USD,25,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50242326/salvage-2014-ford-fusion-se-oh-akron,50242326,"5,961 USD",05/05/2026 03:00 pm GMT+1,2014,FORD,FUSION,2.5L 4,4,1FA6P0H78E5******,CERT OF TITLE-SALVAGE,"144,137 A",ACTUAL,SIDE,550 USD,0 USD,29,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50229146/salvage-2015-ford-escape-se-oh-akron,50229146,"4,293 USD",05/05/2026 03:00 pm GMT+1,2015,FORD,ESCAPE,2.0L 4,4,1FMCU9G96FU******,CERT OF TITLE-SALVAGE,"166,846 A",ACTUAL,FRONT END,0 USD,0 USD,1123,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50222536/clean-title-2015-jeep-renegade-trailhawk-oh-akron,50222536,0 USD,05/05/2026 03:00 pm GMT+1,2015,JEP,RENEGADE,2.4L 4,4,ZACCJBCTXFP******,CERTIFICATE OF TITLE (P),"113,282 A",ACTUAL,TOP/ROOF,375 USD,0 USD,61,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50146636/salvage-2015-honda-odyssey-exl-oh-akron,50146636,"7,777 USD",05/05/2026 03:00 pm GMT+1,2015,HOND,ODYSSEY,3.5L 6,6,5FNRL5H66FB******,CERT OF TITLE-SALVAGE,"192,200 A",ACTUAL,FRONT END,100 USD,0 USD,38,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50142336/salvage-2008-chevrolet-hhr-lt-oh-akron,50142336,"4,623 USD",05/05/2026 03:00 pm GMT+1,2008,CHEV,HHR,2.4L 4,4,3GNDA53P18S******,CERT OF TITLE-SALVAGE,"124,836 A",ACTUAL,FRONT END,0 USD,0 USD,1144,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/49991386/salvage-2019-honda-cr-v-ex-oh-akron,49991386,"18,499 USD",05/05/2026 03:00 pm GMT+1,2019,HOND,CR-V,1.5L 4,4,2HKRW2H57KH******,CERT OF TITLE-SALVAGE,"66,389 A",ACTUAL,FRONT END,100 USD,0 USD,14,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/49874566/salvage-2011-chevrolet-avalanche-lt-oh-akron,49874566,"9,722 USD",05/05/2026 03:00 pm GMT+1,2011,CHEV,AVALANCHE,5.3L 8,8,3GNTKFE36BG******,CERT OF TITLE-SALVAGE,"192,060 A",ACTUAL,FRONT END,0 USD,0 USD,1122,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/49804616/salvage-2009-mercury-milan-oh-akron,49804616,"2,394 USD",05/05/2026 03:00 pm GMT+1,2009,MERC,MILAN,2.3L 4,4,3MEHM07Z09R******,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,90 USD,0 USD,1133,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/49740896/clean-title-2016-dodge-grand-caravan-sxt-oh-akron,49740896,0 USD,05/05/2026 03:00 pm GMT+1,2016,DODG,GRAND CARAVAN,3.6L 6,6,2C4RDGCG9GR******,CERTIFICATE OF TITLE,"213,584 A",ACTUAL,MECHANICAL,0 USD,0 USD,56,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/49731286/salvage-2021-chevrolet-trailblazer-lt-oh-akron,49731286,"17,033 USD",05/05/2026 03:00 pm GMT+1,2021,CHEV,TRAILBLAZER,1.3L 3,3,KL79MPSL6MB******,CERT OF TITLE-SALVAGE,"55,328 A",ACTUAL,REAR END,"2,500 USD",0 USD,24,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/49726416/clean-title-2007-chevrolet-silverado-k1500-classic-crew-cab-oh-akron,49726416,0 USD,05/05/2026 03:00 pm GMT+1,2007,CHEV,SILVERADO,5.3L 8,8,2GCEK13Z871******,CERTIFICATE OF TITLE,"148,817 A",ACTUAL,SIDE,300 USD,0 USD,60,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/49651776/salvage-2019-ford-ecosport-se-oh-akron,49651776,"10,087 USD",05/05/2026 03:00 pm GMT+1,2019,FORD,ECOSPORT,2.0L 4,4,MAJ6S3GLXKC******,CERT OF TITLE-SALVAGE,"71,918 A",ACTUAL,SIDE,90 USD,0 USD,20,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/49641996/salvage-2018-cadillac-cts-premium-luxury-oh-akron,49641996,"18,714 USD",05/05/2026 03:00 pm GMT+1,2018,CADI,CTS,3.6L 6,6,1G6AY5SS2J0******,CERT OF TITLE-SALVAGE,"50,914 A",ACTUAL,FRONT END,"1,700 USD",0 USD,18,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/49573976/clean-title-1999-mercedes-benz-e-320-oh-akron,49573976,0 USD,05/05/2026 03:00 pm GMT+1,1999,MERZ,E,3.2L 6,6,WDBJF65H0XA******,CERTIFICATE OF TITLE,"76,166 A",ACTUAL,MECHANICAL,90 USD,0 USD,1119,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/49512906/salvage-2021-gmc-terrain-sle-oh-akron,49512906,"18,634 USD",05/05/2026 03:00 pm GMT+1,2021,GMC,TERRAIN,1.5L 4,4,3GKALTEV8ML******,CERT OF TITLE-SALVAGE,"50,673 A",ACTUAL,FRONT END,0 USD,0 USD,1142,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/49501216/salvage-2019-chevrolet-equinox-lt-oh-akron,49501216,"8,688 USD",05/05/2026 03:00 pm GMT+1,2019,CHEV,EQUINOX,1.5L 4,4,2GNAXUEV4K6******,CERT OF TITLE-SALVAGE,"130,641 A",ACTUAL,FRONT END,0 USD,0 USD,34,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/49500406/salvage-2019-chevrolet-equinox-lt-oh-akron,49500406,"9,432 USD",05/05/2026 03:00 pm GMT+1,2019,CHEV,EQUINOX,1.5L 4,4,2GNAXUEV8K6******,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,1110,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/49407926/salvage-2020-chevrolet-equinox-lt-oh-akron,49407926,"11,040 USD",05/05/2026 03:00 pm GMT+1,2020,CHEV,EQUINOX,1.5L 4,4,3GNAXUEV3LS******,CERT OF TITLE-SALVAGE,"117,305 A",ACTUAL,FRONT END,0 USD,0 USD,21,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/49393966/salvage-2011-kia-soul-!-oh-akron,49393966,"6,237 USD",05/05/2026 03:00 pm GMT+1,2011,KIA,SOUL,2.0L 4,4,KNDJT2A27B7******,CERT OF TITLE-SALVAGE,"94,415 A",ACTUAL,SIDE,90 USD,0 USD,44,OH - AKRON,0,N/A,N/A
